expression,category,category_2,common,sg,pl,mass,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,adjs,restrictor_DE,scope_DE,NPI,animate,occupation,clothing,appearance,thing,breakable,start_with_vowel,frontable,irrpl
alumnus,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
cactus,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
fungus,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
nucleus,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
radius,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
stimulus,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
alumni,N,N,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1
cacti,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
fungi,N,N,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
nuclei,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
radii,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
axis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
analysis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
basis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
crisis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
diagnosis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
ellipsis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
hypothesis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
oasis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
paralysis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
parenthesis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
synthesis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
synopsis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
thesis,N,N,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,1
axes,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
analyses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
bases,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
crises,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
diagnoses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
ellipses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
hypotheses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
oases,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
paralyses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
parentheses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
syntheses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
synopses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
theses,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
stimuli,N,N,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,1
child,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
man,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
ox,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
woman,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
children,N,N,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1
men,N,N,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1
oxen,N,N,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1
women,N,N,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1
medium,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
phenomenon,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
deer,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
fish,N,N,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1
means,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
offspring,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
series,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
sheep,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
species,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
foot,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
goose,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
tooth,N,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
louse,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
mouse,N,N,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1
media,N,N,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
phenomena,N,N,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
