Dataset,Trigger,Model,Logical,spec_relation,Control,lexemes,Num Examples,Accuracy_%,accuracy
log_connectives.jsonl,connectives,Infersent,TRUE,opposite,Opposite,or - and,200,87,0.87
log_connectives.jsonl,connectives,Infersent,TRUE,reverse negated implicature_P,,or - and,100,100,1
log_connectives.jsonl,connectives,Infersent,TRUE,reverse negated implicature_N,,or - and,100,57,0.57
log_connectives.jsonl,connectives,Infersent,TRUE,negated implicature_P,,or - and,100,0,0
log_connectives.jsonl,connectives,Infersent,TRUE,implicature_NtoP,,or - and,100,0,0
log_connectives.jsonl,connectives,Infersent,TRUE,implicature_PtoN,,or - and,100,1,0.01
log_connectives.jsonl,connectives,Infersent,TRUE,negation,Negation,or - and,400,54.75,0.5475
log_connectives.jsonl,connectives,Infersent,TRUE,negated implicature_N,,or - and,100,0,0
log_connectives.jsonl,connectives,CBOW,TRUE,opposite,Opposite,or - and,200,46.5,0.465
log_connectives.jsonl,connectives,CBOW,TRUE,reverse negated implicature_P,,or - and,100,77,0.77
log_connectives.jsonl,connectives,CBOW,TRUE,reverse negated implicature_N,,or - and,100,46,0.46
log_connectives.jsonl,connectives,CBOW,TRUE,negated implicature_P,,or - and,100,36,0.36
log_connectives.jsonl,connectives,CBOW,TRUE,implicature_NtoP,,or - and,100,17,0.17
log_connectives.jsonl,connectives,CBOW,TRUE,implicature_PtoN,,or - and,100,32,0.32
log_connectives.jsonl,connectives,CBOW,TRUE,negation,Negation,or - and,400,32,0.32
log_connectives.jsonl,connectives,CBOW,TRUE,negated implicature_N,,or - and,100,1,0.01
prag_connectives.jsonl,connectives,Infersent,FALSE,opposite,Opposite,or - and,200,87,0.87
prag_connectives.jsonl,connectives,Infersent,FALSE,reverse negated implicature_P,,or - and,100,0,0
prag_connectives.jsonl,connectives,Infersent,FALSE,reverse negated implicature_N,,or - and,100,43,0.43
prag_connectives.jsonl,connectives,Infersent,FALSE,negated implicature_P,,or - and,100,1,0.01
prag_connectives.jsonl,connectives,Infersent,FALSE,implicature_NtoP,,or - and,100,69,0.69
prag_connectives.jsonl,connectives,Infersent,FALSE,implicature_PtoN,,or - and,100,60,0.6
prag_connectives.jsonl,connectives,Infersent,FALSE,negation,Negation,or - and,400,54.75,0.5475
