model,log-prag,dataset,accuracy
BERT,logical,connectives,0.3333333333
BERT,logical,gradable adjective,0.3388157896
BERT,logical,gradable verb,0.4603174606
BERT,logical,modals,0.2183333333
BERT,logical,numerals,0.098333
BERT,logical,determiners,0.3566666667
BERT,pragmatic,connectives,0.0833333333
BERT,pragmatic,gradable adjective,0.021929825
BERT,pragmatic,gradable verb,0.05602586722
BERT,pragmatic,modals,0.2783333333
BERT,pragmatic,numerals,0.74166666
BERT,pragmatic,determiners,0.5533333333
InferSent,logical,connectives,0.2633333333
InferSent,logical,gradable adjective,0.3333333333
InferSent,logical,gradable verb,0.3333333333
InferSent,logical,modals,0.185
InferSent,logical,numerals,0.23
InferSent,logical,determiners,0.3066666667
InferSent,pragmatic,connectives,0.38
InferSent,pragmatic,gradable adjective,0.01535087708
InferSent,pragmatic,gradable verb,0.07519106389
InferSent,pragmatic,modals,0.32
InferSent,pragmatic,numerals,0.282
InferSent,pragmatic,determiners,0.43
BOW,logical,connectives,0.3483333333
BOW,logical,gradable adjective,0.1768744775
BOW,logical,gradable verb,0.1502691917
BOW,logical,modals,0.175
BOW,logical,numerals,0.302
BOW,logical,determiners,0.19
BOW,pragmatic,connectives,0.3833333333
BOW,pragmatic,gradable adjective,0.5127010233
BOW,pragmatic,gradable verb,0.5399919556
BOW,pragmatic,modals,0.39
BOW,pragmatic,numerals,0.356
BOW,pragmatic,determiners,0.6083333333
