model,filtered,trigger_type,condition,control,trigger_condition,presupposition_condition,accuracy,entailment,neutral,contradiction,n_examples
BERT,False,all_n_presupposition,test_unembedded_positive,False,unembedded,positive,0.27,0.27,0.73,0,100
BERT,False,all_n_presupposition,test_unembedded_negated,False,unembedded,negated,0.83,0.08,0.09,0.83,100
BERT,False,all_n_presupposition,test_unembedded_neutral,False,unembedded,neutral,0.43,0.03,0.43,0.54,100
BERT,False,all_n_presupposition,test_negated_positive,False,negated,positive,0.26,0.26,0.74,0,100
BERT,False,all_n_presupposition,test_negated_negated,False,negated,negated,0.81,0.11,0.08,0.81,100
BERT,False,all_n_presupposition,test_negated_neutral,False,negated,neutral,0.44,0.03,0.44,0.53,100
BERT,False,all_n_presupposition,test_interrogative_positive,False,interrogative,positive,0,0,1,0,100
BERT,False,all_n_presupposition,test_interrogative_negated,False,interrogative,negated,0.48,0.02,0.5,0.48,100
BERT,False,all_n_presupposition,test_interrogative_neutral,False,interrogative,neutral,0.47,0,0.47,0.53,100
BERT,False,all_n_presupposition,test_modal_positive,False,modal,positive,0.1,0.1,0.9,0,100
BERT,False,all_n_presupposition,test_modal_negated,False,modal,negated,0.81,0.09,0.1,0.81,100
BERT,False,all_n_presupposition,test_modal_neutral,False,modal,neutral,0.45,0.02,0.45,0.53,100
BERT,False,all_n_presupposition,test_conditional_positive,False,conditional,positive,0,0,1,0,100
BERT,False,all_n_presupposition,test_conditional_negated,False,conditional,negated,0.52,0.06,0.42,0.52,100
BERT,False,all_n_presupposition,test_conditional_neutral,False,conditional,neutral,0.63,0,0.63,0.37,100
BERT,False,all_n_presupposition,control_negated,True,negated,,0.98,0.02,0,0.98,100
BERT,False,all_n_presupposition,control_modal,True,modal,,0.46,0.51,0.46,0.03,100
BERT,False,all_n_presupposition,control_interrogative,True,interrogative,,0.26,0.73,0.26,0.01,100
BERT,False,all_n_presupposition,control_conditional,True,conditional,,0.19,0.81,0.19,0,100
BERT,True,all_n_presupposition,test_unembedded_positive,False,unembedded,positive,1,1,0,0,27
BERT,True,all_n_presupposition,test_unembedded_negated,False,unembedded,negated,0.9259259259259259,0.07407407407407407,0,0.9259259259259259,27
BERT,True,all_n_presupposition,test_unembedded_neutral,False,unembedded,neutral,0.37037037037037035,0.1111111111111111,0.37037037037037035,0.5185185185185185,27
BERT,True,all_n_presupposition,test_negated_positive,False,negated,positive,0.8076923076923077,0.8076923076923077,0.19230769230769232,0,26
BERT,True,all_n_presupposition,test_negated_negated,False,negated,negated,0.9230769230769231,0.07692307692307693,0,0.9230769230769231,26
BERT,True,all_n_presupposition,test_negated_neutral,False,negated,neutral,0.34615384615384615,0.07692307692307693,0.34615384615384615,0.5769230769230769,26
BERT,True,all_n_presupposition,test_interrogative_positive,False,interrogative,positive,0,0,1,0,8
BERT,True,all_n_presupposition,test_interrogative_negated,False,interrogative,negated,0.125,0.125,0.75,0.125,8
BERT,True,all_n_presupposition,test_interrogative_neutral,False,interrogative,neutral,0.625,0,0.625,0.375,8
BERT,True,all_n_presupposition,test_modal_positive,False,modal,positive,0.4444444444444444,0.4444444444444444,0.5555555555555556,0,9
BERT,True,all_n_presupposition,test_modal_negated,False,modal,negated,0.7777777777777778,0.2222222222222222,0,0.7777777777777778,9
BERT,True,all_n_presupposition,test_modal_neutral,False,modal,neutral,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,9
BERT,True,all_n_presupposition,test_conditional_positive,False,conditional,positive,0,0,1,0,4
BERT,True,all_n_presupposition,test_conditional_negated,False,conditional,negated,0.25,0.25,0.5,0.25,4
BERT,True,all_n_presupposition,test_conditional_neutral,False,conditional,neutral,1,0,1,0,4
BERT,True,all_n_presupposition,control_negated,True,negated,,0,0,0,0,0
BERT,True,all_n_presupposition,control_modal,True,modal,,0,0,0,0,0
BERT,True,all_n_presupposition,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,all_n_presupposition,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,both_presupposition,test_unembedded_positive,False,unembedded,positive,0,0,1,0,100
BERT,False,both_presupposition,test_unembedded_negated,False,unembedded,negated,0.55,0.03,0.42,0.55,100
BERT,False,both_presupposition,test_unembedded_neutral,False,unembedded,neutral,0.5,0,0.5,0.5,100
BERT,False,both_presupposition,test_negated_positive,False,negated,positive,0,0,0.99,0.01,100
BERT,False,both_presupposition,test_negated_negated,False,negated,negated,0.48,0.06,0.46,0.48,100
BERT,False,both_presupposition,test_negated_neutral,False,negated,neutral,0.53,0,0.53,0.47,100
BERT,False,both_presupposition,test_interrogative_positive,False,interrogative,positive,0,0,0.84,0.16,100
BERT,False,both_presupposition,test_interrogative_negated,False,interrogative,negated,0.41,0,0.59,0.41,100
BERT,False,both_presupposition,test_interrogative_neutral,False,interrogative,neutral,0.34,0,0.34,0.66,100
BERT,False,both_presupposition,test_modal_positive,False,modal,positive,0,0,1,0,100
BERT,False,both_presupposition,test_modal_negated,False,modal,negated,0.48,0.04,0.48,0.48,100
BERT,False,both_presupposition,test_modal_neutral,False,modal,neutral,0.48,0,0.48,0.52,100
BERT,False,both_presupposition,test_conditional_positive,False,conditional,positive,0,0,1,0,100
BERT,False,both_presupposition,test_conditional_negated,False,conditional,negated,0.11,0,0.89,0.11,100
BERT,False,both_presupposition,test_conditional_neutral,False,conditional,neutral,0.56,0,0.56,0.44,100
BERT,False,both_presupposition,control_negated,True,negated,,0.99,0.01,0,0.99,100
BERT,False,both_presupposition,control_modal,True,modal,,0.62,0.35,0.62,0.03,100
BERT,False,both_presupposition,control_interrogative,True,interrogative,,0.29,0.71,0.29,0,100
BERT,False,both_presupposition,control_conditional,True,conditional,,0.15,0.85,0.15,0,100
BERT,True,both_presupposition,test_unembedded_positive,False,unembedded,positive,0,0,0,0,0
BERT,True,both_presupposition,test_unembedded_negated,False,unembedded,negated,0,0,0,0,0
BERT,True,both_presupposition,test_unembedded_neutral,False,unembedded,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_negated_positive,False,negated,positive,0,0,0,0,0
BERT,True,both_presupposition,test_negated_negated,False,negated,negated,0,0,0,0,0
BERT,True,both_presupposition,test_negated_neutral,False,negated,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_positive,False,interrogative,positive,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_negated,False,interrogative,negated,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_neutral,False,interrogative,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_modal_positive,False,modal,positive,0,0,0,0,0
BERT,True,both_presupposition,test_modal_negated,False,modal,negated,0,0,0,0,0
BERT,True,both_presupposition,test_modal_neutral,False,modal,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_positive,False,conditional,positive,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_negated,False,conditional,negated,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_neutral,False,conditional,neutral,0,0,0,0,0
BERT,True,both_presupposition,control_negated,True,negated,,0,0,0,0,0
BERT,True,both_presupposition,control_modal,True,modal,,0,0,0,0,0
