model,log-prag,condition,accuracy
BERT,logical,not 100 - 10,0.1
BERT,logical,10 - not 100,0
BERT,logical,not 100 - not 10,0.28
BERT,logical,10 - 100,0
BERT,logical,not 10 - not 100,0
BERT,logical,100 - 10,0
BERT,pragmatic,not 100 - 10,0.46
BERT,pragmatic,10 - not 100,1
BERT,pragmatic,not 100 - not 10,0
BERT,pragmatic,10 - 100,1
BERT,pragmatic,not 10 - not 100,1
BERT,pragmatic,100 - 10,1
BOW,logical,not 100 - 10,0.1
BOW,logical,10 - not 100,0.21
BOW,logical,not 100 - not 10,0.5
BOW,logical,10 - 100,0.22
BOW,logical,not 10 - not 100,0.54
BOW,logical,100 - 10,0.34
BOW,pragmatic,not 100 - 10,0.52
BOW,pragmatic,10 - not 100,0.03
BOW,pragmatic,not 100 - not 10,0.35
BOW,pragmatic,10 - 100,0.59
BOW,pragmatic,not 10 - not 100,0.36
BOW,pragmatic,100 - 10,0.19
InferSent,logical,not 100 - 10,0
InferSent,logical,10 - not 100,0
InferSent,logical,not 100 - not 10,0.01
InferSent,logical,10 - 100,0
InferSent,logical,not 10 - not 100,0.72
InferSent,logical,100 - 10,0.08
InferSent,pragmatic,not 100 - 10,0.16
InferSent,pragmatic,10 - not 100,0.53
InferSent,pragmatic,not 100 - not 10,0.02
InferSent,pragmatic,10 - 100,0.49
InferSent,pragmatic,not 10 - not 100,0.28
InferSent,pragmatic,100 - 10,0.92
