model,log-prag,condition,accuracy
BERT,logical,not sprint-run,0.01904762
BERT,logical,run-not sprint,0.333333333
BERT,logical,not sprint-not run,0.095238097
BERT,logical,run-sprint,0.323809523
BERT,logical,not run-not sprint,0.99047619
BERT,logical,sprint-run,1
BERT,pragmatic,not sprint-run,0.326631393
BERT,pragmatic,run-not sprint,0
BERT,pragmatic,not sprint-not run,0
BERT,pragmatic,run-sprint,0.00952381
BERT,pragmatic,not run-not sprint,0
BERT,pragmatic,sprint-run,0
BOW,logical,not sprint-run,0.065162907
BOW,logical,run-not sprint,0.00877193
BOW,logical,not sprint-not run,0.01904762
BOW,logical,run-sprint,0.133834587
BOW,logical,not run-not sprint,0.02781955
BOW,logical,sprint-run,0.646978557
BOW,pragmatic,not sprint-run,0.77029611
BOW,pragmatic,run-not sprint,0
BOW,pragmatic,not sprint-not run,0.952380953
BOW,pragmatic,run-sprint,0.31419289
BOW,pragmatic,not run-not sprint,0.93709273
BOW,pragmatic,sprint-run,0.26598905
InferSent,logical,not sprint-run,0
InferSent,logical,run-not sprint,0
InferSent,logical,not sprint-not run,0
InferSent,logical,run-sprint,0
InferSent,logical,not run-not sprint,1
InferSent,logical,sprint-run,1
InferSent,pragmatic,not sprint-run,0.32451499
InferSent,pragmatic,run-not sprint,0.069488537
InferSent,pragmatic,not sprint-not run,0
InferSent,pragmatic,run-sprint,0.057142857
InferSent,pragmatic,not run-not sprint,0
InferSent,pragmatic,sprint-run,0
