experiment name	run name	in domain accuracy	out of domain accuracy	1/1	1/0	0/1	0/0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_14	0.772	0.746	0.228	0.56	0.068	0.144
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_12	0.998	0.996	0.008	0.992	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_4	0.822	0.798	0.024	0.756	0.16	0.06
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_8	0.53	0.55	0.116	0.132	0.032	0.72
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_17	0.578	0.496	0.62	0.06	0.068	0.252
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_10	0.508	0.506	0.02	0.024	0.012	0.944
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_7	0.766	0.684	0.376	0.44	0.072	0.112
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_13	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_0	1.0	0.992	0.016	0.984	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_16	0.568	0.544	0.628	0.128	0.04	0.204
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_11	1.0	0.966	0.068	0.932	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_1	0.996	0.948	0.004	0.896	0.0	0.1
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_5	0.53	0.498	0.28	0.08	0.084	0.556
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_3	0.732	0.516	0.0	0.032	0.0	0.968
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_2	0.538	0.524	0.912	0.056	0.008	0.024
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_15	0.904	0.86	0.18	0.764	0.044	0.012
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_19	0.502	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_18	0.552	0.522	0.72	0.056	0.012	0.212
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_9	0.564	0.508	0.58	0.092	0.076	0.252
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_1k_sweep	run_6	1.0	0.956	0.048	0.912	0.0	0.04
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_14	0.5533333333333333	0.5333333333333333	0.72	0.12	0.05333333333333334	0.10666666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_4	0.7266666666666667	0.6933333333333334	0.5866666666666667	0.4	0.013333333333333334	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_8	0.9866666666666667	0.8466666666666667	0.30666666666666664	0.6933333333333334	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_17	0.5066666666666667	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_10	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_7	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_13	0.5533333333333333	0.5666666666666667	0.56	0.14666666666666667	0.013333333333333334	0.28
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_16	0.5066666666666667	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_11	0.5666666666666667	0.5533333333333333	0.7066666666666667	0.12	0.013333333333333334	0.16
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_1	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_5	0.5133333333333333	0.5066666666666667	0.02666666666666667	0.013333333333333334	0.0	0.96
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_3	0.5666666666666667	0.5933333333333334	0.44	0.18666666666666668	0.0	0.37333333333333335
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_2	0.5066666666666667	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_15	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_19	0.5066666666666667	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_18	0.5066666666666667	0.5	0.0	0.0	0.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_9	0.5	0.5	1.0	0.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_300_sweep	run_6	0.5066666666666667	0.5066666666666667	0.9866666666666667	0.013333333333333334	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_14	1.0	0.852	0.2906666666666667	0.7053333333333334	0.0013333333333333333	0.0026666666666666666
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_12	1.0	0.9966666666666667	0.0026666666666666666	0.9933333333333333	0.0	0.004
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_4	1.0	0.9133333333333333	0.16933333333333334	0.828	0.0013333333333333333	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_8	0.96	0.9533333333333334	0.005333333333333333	0.9066666666666666	0.0	0.088
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_17	0.5086666666666667	0.496	0.07466666666666667	0.058666666666666666	0.06666666666666667	0.8
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_7	0.9966666666666667	0.9953333333333333	0.0026666666666666666	0.9906666666666667	0.0	0.006666666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_13	1.0	0.988	0.024	0.976	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_0	0.5013333333333333	0.49933333333333335	0.0	0.0	0.0013333333333333333	0.9986666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_16	0.9973333333333333	0.9946666666666667	0.008	0.9906666666666667	0.0013333333333333333	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_11	0.866	0.8533333333333334	0.23866666666666667	0.7333333333333333	0.02666666666666667	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_1	0.914	0.9013333333333333	0.021333333333333333	0.804	0.0013333333333333333	0.17333333333333334
