is not dir: summaryexperiment name	run name	in domain accuracy	out of domain accuracy	himself herself accuracy	herself himself accuracy	himself itself accuracy	itself himself accuracy	himself themselves accuracy	themselves himself accuracy	herself itself accuracy	itself herself accuracy	herself themselves accuracy	themselves herself accuracy	itself themselves accuracy	themselves itself accuracy
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_4	0.998	0.932	1.0	0.75	1.0	nan	0.9772727272727273	0.9765625	0.75	0.875	0.9772727272727273	0.9678571428571429	0.9772727272727273	0.9827586206896551
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_8	0.996	0.996	1.0	1.0	1.0	nan	1.0	1.0	0.875	1.0	1.0	1.0	1.0	1.0
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_0	0.502	0.5	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5028735632183908
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_11	1.0	0.91	0.75	0.9375	1.0	nan	0.9772727272727273	0.9375	1.0	0.75	1.0	0.9107142857142857	0.8863636363636364	0.9971264367816092
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_1	0.5	0.5	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_5	0.702	0.602	0.375	0.625	0.25	nan	0.5	0.734375	0.4375	0.75	0.42045454545454547	0.7678571428571429	0.4772727272727273	0.6580459770114943
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_3	0.5	0.5	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_1k_sweep	run_9	0.502	0.518	0.625	0.5625	0.5	nan	0.5227272727272727	0.4921875	0.59375	0.5	0.4659090909090909	0.49642857142857144	0.5	0.5258620689655172
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_8	0.5066666666666667	0.5	0.5	0.625	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_10	0.5333333333333333	0.5333333333333333	0.5	0.625	nan	nan	0.45	0.525	0.25	nan	0.5	0.5555555555555556	nan	0.5416666666666666
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_7	0.5	0.5	0.5	0.5	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_0	0.5	0.5	0.5	0.5	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_11	0.5	0.5	0.5	0.5	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_1	0.5	0.5	0.5	0.5	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_5	0.52	0.5066666666666667	0.5	0.625	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_3	0.54	0.52	0.375	0.5	nan	nan	0.5	0.525	0.5	nan	0.5	0.5462962962962963	nan	0.5416666666666666
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_2	0.5066666666666667	0.5	0.5	0.625	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_9	0.8533333333333334	0.86	0.75	0.5	nan	nan	0.05	1.0	0.5	nan	0.0	1.0	nan	1.0
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_300_sweep	run_6	0.5066666666666667	0.5	0.5	0.625	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	nan	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_4	0.7866666666666666	0.7406666666666667	0.5	0.5	0.5	0.5	0.34375	0.9217171717171717	0.5	0.5	0.34946236559139787	0.9126106194690266	0.48295454545454547	0.8855140186915887
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_8	1.0	0.9566666666666667	1.0	1.0	1.0	1.0	0.9296875	0.9873737373737373	0.9833333333333333	0.9166666666666666	0.9489247311827957	0.9811946902654868	0.9488636363636364	0.9976635514018691
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_10	0.9993333333333333	0.9913333333333333	1.0	0.8333333333333334	1.0	1.0	1.0	0.9974747474747475	1.0	0.9166666666666666	0.9973118279569892	0.995575221238938	0.9829545454545454	1.0
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_7	1.0	0.9466666666666667	0.9642857142857143	1.0	0.8928571428571429	0.75	0.9609375	0.9974747474747475	0.9166666666666666	0.9166666666666666	0.9758064516129032	0.9933628318584071	0.9204545454545454	0.9626168224299065
